Key	[en] Platform - prod	[ru] Russian 	[ko] Korean 	[zh-cn] Simplified Chinese 	[zh-tw] Traditional Chinese	[fr] French 	[de] German	[es] Spanish 	[pt] Portuguese 	[it] Italian 	[pl] Polish 	[cs] Czech	[tr] Turkish 	[ja] Japanese 	[th] Thai 	[vi] Vietnamese 	[hu] Hungarian
home.games.title	Games	Игры	게임	游戏	遊戲	Jeux	Spiele	Juegos	Jogos	Giochi	Gry	Hry	Oyunlar	ゲーム	เกม	Game	Játékok
home.sliders.learnMore	Learn more	Подробнее	더 알아보기	了解更多	了解更多	En savoir plus	Mehr erfahren	Saber más	Saber mais	Per saperne di più	Dowiedz się więcej	Zjistit více	Daha fazla öğren	詳細	เรียนรู้เพิ่มเติม	Tìm hiểu thêm	További infó
home.sliders.downloadNow	Download now	Скачать сейчас	지금 다운로드	立即下载	立即下載	Télécharger	Jetzt herunterladen	Descargar ahora	Baixar agora	Scarica ora	Pobierz teraz	Stáhnout hned	Hemen indir	今すぐダウンロード	ดาวน์โหลดเลย	Tải về ngay	Letöltés most
home.news.title	News	Новости	뉴스	动态	新聞	Actus	Nachrichten	Novedades	Notícias	Notizie	Wiadomości	Zprávy	Haberler	ニュース	ข่าวสาร	Tin tức	Hírek
home.news.moreNews	More news	Больше новостей	더 많은 소식	更多动态	更多新聞	Plus d'actus	Mehr Nachrichten	Más juegos	Mais notícias	Altre notizie	Więcej wiadomości	Více zpráv	Daha fazla haber	もっと見る	ข่าวสารเพิ่มเติม	Tin tức khác	További hírek
home.about.title	Creating modern games	Создаем современные игры	현대 게임 제작	创造现代游戏	創造現代遊戲	Création de jeux modernes	Moderne Spiele erstellen	Creando juegos modernos	Criando jogos modernos	Creare giochi moderni	Tworzenie nowoczesnych gier	Vytváříme moderní hry	Modern oyunlar yaratma	モダンなゲームの開発	การสร้างเกมยุคใหม่	Tạo game hiện đại	Modern játékok készítése
home.about.desc	From releasing new games to giving the old ones a second life, LTG Multiverse believes in making every adventure memorable.	Будь то релиз новой игры или же переосмысление уже существующих — в LTG Multiverse мы стараемся сделать каждое приключение незабываемым.	새로운 게임 출시부터 예전 게임에 새로운 생명을 불어넣는 작업까지, LTG Multiverse는 모든 모험을 기억에 남게 만든다는 신념을 가지고 있습니다.	从发布新游戏到让老游戏焕发第二春，LTG始终坚信要让每次冒险都令人印象深刻。	從發布新遊戲到賦予老遊戲第二次生命，LTG始終堅信要讓每一次冒險都令人難忘。	Qu'il s'agisse de nouveautés ou de redonner un deuxième souffle à des titres plus anciens, la mission de LTG Multiverse vise à faire de chaque partie une aventure inoubliable.	Von der Veröffentlichung neuer Spiele bis hin zu einem zweiten Leben für ältere Spiele ... LTG Multiverse ist davon überzeugt: Jedes Abenteuer sollte unvergesslich sein.	LTG Multiverse cree en hacer que cada aventura sea inolvidable, desde los juegos nuevos hasta aquellos que reciben una segunda oportunidad.	Do lançamento de jogos novos a uma segunda vida a jogos antigos, o LTG Multiverse acredita em tornar cada aventura memorável.	Dal rilascio di nuovi giochi al dare una seconda vita a quelli vecchi, LTG Multiverse si impegna per rendere ogni avventura memorabile.	Zarówno wydając nowe gry, jak i dając drugie życie starszym tytułom, LTG Multiverse chce, by każda przygoda zapadała w pamięć.	LTG Multiverse se věnuje vydávání nových her a vdechování nového života starším titulům. Věříme, že každé dobrodružství stojí za zapamatování.	Yeni oyunlar yayınlamaktan eskilerine yeni bir hayat vermeye kadar LTG Multiverse her macerayı hatırlamaya değer kılmaya inanıyor.	新作ゲームの発売はもちろん、旧作に新たな命を吹き込むことまで、LTG Multiverseはどんな冒険も思い出深いものになると確信しております。	ไม่ว่าจะปล่อยเกมใหม่หรือนำเกมเก่ามาปัดฝุ่นให้ดีขึ้น LTG Multiverse ก็เชื่อมั่นในการทำให้ทุกเกมเป็นที่จดจำ	Từ phát hành game mới đến hồi sinh game cũ, LTG Multiverse luôn tin tưởng vào mục tiêu khiến mọi hành trình trở nên đáng nhớ.	Új játékok kiadásától a régi játékok újjáélesztéséig az LTG Multiverse hisz abban, hogy minden kaland emlékezetessé varázsolható.
home.about.bestGames.title	Best Games	Лучшие игры	최고의 게임	最佳游戏	最佳遊戲	Meilleurs jeux	Beste Spiele	Mejores juegos	Melhores jogos	Giochi migliori	Najlepsze gry	Nejlepší hry	En İyi Oyunlar	最高のゲーム	เกมที่ดีที่สุด	Game hay nhất	A legjobb játékok
home.about.bestGames.desc	LTG Multiverse uses the power of play to deliver games that create the best experience for you. All the games you see here have been hand-picked for your enjoyment.	Чтобы вы могли получать удовольствие от наших игр, мы используем игровой потенциал наших продуктов по максимуму. Все игры, которые вы видите, прошли тщательный отбор.	LTG Multiverse는 놀이의 힘으로 여러분을 위한 최고의 경험을 제작합니다. 이곳에 있는 모든 게임은 여러분이 즐기실 수 있도록 손수 엄선되었습니다.	LTG利用游戏的力量为你提供最佳游戏体验。在这里列出的所有游戏都是为你精心挑选的。	LTG利用遊戲的力量為你提供最佳體驗的遊戲。你在這裡看到的所有遊戲都是為了讓你享受遊戲而精心挑選的。	LTG Multiverse utilise le pouvoir du jeu pour offrir des titres qui créent une expérience optimale. Tous les jeux que vous voyez ici ont été soigneusement sélectionnés pour vous.	LTG Multiverse nutzt die Kraft des Spiels, um Spiele zu liefern, die dir das bestmögliche Spielerlebnis bieten. Alle Spiele, die du hier siehst, sind handverlesen und dienen deiner Unterhaltung.	LTG Multiverse usa el poder del juego para ofrecer juegos que crean la mejor experiencia para ti. Todos los juegos que ves aquí se han elegido cuidadosamente para que los disfrutes.	LTG Multiverse usa o poder da diversão para oferecer jogos que criam a melhor experiência possível. Todos os jogos que você vê aqui foram escolhidos a dedo para sua diversão.	LTG Multiverse utilizza il potere del gioco per offrire videogiochi che ti permettano di avere la migliore esperienza. Tutti i giochi che troverai qui sono stati selezionati per il tuo divertimento.	LTG Multiverse wykorzystuje moc grania, by dostarczać produkcje zapewniające użytkownikowi najlepsze możliwe wrażenia. Wszystkie widoczne tutaj tytuły zostały specjalnie wyselekcjonowane.	LTG Multiverse využívá sílu her při vytváření těch nejlepších možných zážitků. Všechny hry, které tady vidíš, jsme vybrali tak, aby ti přinesly co nejvíce zábavy.	LTG Multiverse, senin için en iyi deneyimi yaratacak oyunlar yapmak için oyun oynamanın gücünü kullanıyor. Burada gördüğün tüm oyunlar senin için elle seçildi.	LTG Multiverseは遊びの力を活用して、プレイヤーの皆様が最高の体験を味わえるゲームをご提供しております。このサイトに記載されているゲームはすべて、皆様に楽しんでもらうために選び抜かれた作品です。	LTG Multiverse ใช้พลังแห่งการเล่นนำเสนอเกมที่สร้างประสบการณ์ที่ดีที่สุดให้กับคุณ ทุกเกมที่คุณเห็นตรงนี้ได้รับการคัดเลือกมาอย่างดีเพื่อให้คุณสนุกได้เต็มที่	LTG Multiverse sử dụng sức mạnh giải trí để đem đến những game tạo ra trải nghiệm tốt nhất cho bạn. Tất cả các game bạn nhìn thấy ở đây đều đã được tuyển chọn kỹ càng để giúp bạn giải trí.	Az LTG Multiverse a játék erejével készít olyan játékokat, amelyek a legjobb élményt kínálják számodra. Az összes játékot, amit itt látsz, saját kezűleg válogattuk ki azért, hogy remekül szórakozhass.
home.about.bestExperience.title	Best Experience	Лучшие впечатления	최고의 경험	最佳体验	最佳體驗	Meilleure expérience	Beste Erfahrung	Mejor experiencia	Melhor experiência	Esperienza migliore	Najlepsze wrażenia	Nejlepší zážitek	En İyi Deneyim	最高の体験	ประสบการณ์ที่ดีที่สุด	Trải nghiệm tốt nhất	A legjobb élmény
home.about.bestExperience.desc	LTG Multiverse aims to change the way you play games. Download and install your games quickly and safely while getting the latest news from the gaming world.	Мы прилагаем все усилия, чтобы вы могли играть в игры по-новому. Скачивайте и устанавливайте игры быстро и безопасно, оставаясь в курсе последних новостей игрового мира.	LTG Multiverse는 게임을 플레이하는 방식을 바꾸고자 합니다. 게임 업계의 최신 소식을 접하면서 게임을 빠르고 안전하게 다운로드 및 설치하세요.	LTG旨在改变游戏的游玩方式。快速安全地下载并安装游戏，同时获悉来自游戏世界的最新动态。	LTG旨在改變你玩遊戲的方式。你可以快速、安全地下載和安裝遊戲，同時獲得遊戲世界的最新消息。	LTG Multiverse vise à changer votre façon de jouer. Téléchargez et installez rapidement vos jeux en toute sécurité tout en recevant les dernières actus du monde du jeu.	LTG Multiverse hat sich zum Ziel gesetzt, die Art und Weise, wie du spielst, zu verändern. Lade Spiele schnell und sicher herunter und installiere sie, während du gleichzeitig die neuesten Nachrichten aus der Gaming-Welt erhältst.	LTG Multiverse quiere cambiar la forma en la que juegas. Descarga e instala tus juegos de forma rápida y segura mientras recibes las últimas novedades del mundo de los videojuegos.	LTG Multiverse pretende mudar a maneira como você joga. Baixe e instale seus jogos com rapidez e segurança enquanto recebe as últimas notícias do mundo dos jogos.	LTG Multiverse mira a trasformare il modo di giocare. Scarica e installa i tuoi giochi in modo rapido e sicuro, e ricevi le ultime notizie dal mondo dei giochi.	LTG Multiverse chce zmienić sposób, w jaki grasz. Pobieraj oraz instaluj gry szybko i bezpiecznie, a jednocześnie otrzymuj najnowsze wiadomości ze świata gier.	LTG Multiverse si klade za cíl změnit způsob, jakým hraješ hry. Stahuje a instaluj hry rychle a bezpečně a zároveň si nenech ujít nejnovější zprávy z herního světa.	LTG Multiverse oyunları oynama şeklini değiştirmeyi amaçlıyor. Oyun dünyasından en son haberleri alırken oyunlarını hızlıca ve güvenli bir şekilde indirip kur.	LTG Multiverseの目的は、皆様のゲームの遊び方を変えること。ゲーム世界の最新のニュースを閲覧しながら、ゲームをすばやく安全にダウンロードしていいただくことが可能です。	LTG Multiverse มุ่งหวังจะเปลี่ยนวิธีเล่นเกมของคุณ ให้คุณดาวน์โหลดและติดตั้งเกมได้อย่างรวดเร็วและปลอดภัย ขณะรับทราบข่าวสารล่าสุดจากโลกแห่งการเล่นเกม	Mục tiêu của LTG Multiverse là thay đổi cách bạn chơi game. Hãy tải về và cài đặt game một cách nhanh chóng và an toàn, đồng thời nhận tin tức mới nhất từ thế giới game.	Az LTG Multiverse célja, hogy megváltoztassa azt, ahogyan a játékokkal játszol. Gyorsan és biztonságosan letöltheted és telepítheted a játékaidat, miközben értesülhetsz a játékvilág legfrissebb híreiről.
home.about.bestFriends.title	Best Friends	Лучшие друзья	최고의 친구들	最好的朋友	最佳好友	Meilleurs amis	Beste Freunde	Mejores amigos	Melhores amigos	Migliori amici	Najlepsi przyjaciele	Nejlepší přátelé	En İyi Arkadaşlar	最高の友達	เพื่อนที่ดีที่สุด	Bạn tốt nhất	A legjobb barátok
home.about.bestFriends.desc	Team up with people who share the same passion for games to help us change them for the better. Every voice in the LTG Multiverse matters.	Объединяйтесь с единомышленниками, которые разделяют вашу страсть к играм, и помогите нам сделать их еще лучше! Нам в LTG Multiverse важен каждый голос.	여러분만큼 게임에 대한 열정을 가진 사람들과 함께 저희가 게임을 개선하는 데 도움을 주세요. LTG Multiverse에 있는 모두의 의견이 중요합니다.	跟对游戏有同样热情的人组队，帮助我们改善游戏。LTG上的每个声音都很重要。	與對遊戲有著同樣熱情的人組成團隊，幫助我們將遊戲做得更好。LTG中的每一個聲音都很重要。	Faites équipe avec des personnes qui partagent votre passion pour les jeux et aidez-nous à optimiser l'expérience de jeu. Chaque opinion compte dans LTG Multiverse.	Tue dich mit Gleichgesinnten zusammen, die deine Leidenschaft für Spiele teilen und hilf uns, sie weiter zu verbessern. Im LTG Multiverse zählt jede Stimme.	Forma equipo con personas que comparten la misma pasión por los juegos para ayudarnos a cambiarlos para mejor. Todas las voces en LTG Multiverse importan.	Junte-se a pessoas que compartilham a mesma paixão por jogos para nos ajudar a mudá-los para melhor. Todas as vozes no LTG Multiverse importam.	Unisciti a persone che condividono la tua stessa passione per i videogiochi e aiutaci a migliorarli. Per LTG Multiverse tutte le opinioni sono importanti.	Połącz siły z ludźmi, którzy dzielą z tobą pasję do gier, i pomóż nam je udoskonalać. Każdy głos w LTG Multiverse ma znaczenie.	Spoj se s lidmi, kteří s tebou sdílejí stejnou vášeň ke hrám jako ty a pomáhej nám své oblíbené tituly zlepšovat. V LTG Multiverse záleží na každém hlasu.	Oyunları daha da iyileştirmemize yardımcı olmak için aynı oyun tutkusuna sahip insanlarla takım ol. LTG Multiverse'de her ses önemlidir.	ゲームに情熱を抱くユーザーの皆様と一緒に、ぜひゲームの改善にご協力ください。LTG Multiverseにおけるご意見は、すべてが宝物です。	ร่วมทีมกับผู้คนที่พร้อมจะแชร์ความหลงใหลในเกมด้วยกัน เพื่อช่วยให้เราพัฒนาได้ดีขึ้น ทุกเสียงใน LTG Multiverse มีความหมาย	Lập đội với những người có cùng đam mê chơi game với bạn để giúp chúng tôi cải thiện game. Mỗi ý kiến trong LTG Multiverse đều được trân trọng.	Állj össze olyan emberekkel, akik hasonló szenvedélyt táplálnak a játékok iránt, hogy minél jobbá tehessük őket! Az LTG Multiverse-ben mindenkit meghallgatunk.

profileSidebar.promocodes	Promocodes	Промокоды	프로모션 코드	优惠码	優惠碼	Codes promo	Aktionscodes	Códigos promocionales	Códigos promocionais	Codici promozionali	Kody promocyjne	Promo kódy	Promosyon Kodları	プロモコード	โปรโมโค้ด	Mã khuyến mãi	Promóciós kódok
profileSidebar.personalInfo	Personal info	Личные данные	개인정보	个人信息	個人資訊	Infos personnelles	Persönliche Informationen	Información personal	Informações pessoais	Informazioni personali	Dane osobowe	Osobní údaje	Kişisel bilgi	個人情報	ข้อมูลส่วนตัว	Thông tin cá nhân	Személyes adatok
profileSidebar.myGames	My Games	Мои игры	나의 개임	我的游戏	我的遊戲	Mes jeux	Meine Spiele	Mis juegos	Meus jogos	I miei giochi	Moje gry	Mé hry	Oyunlarım	マイゲーム	เกมของฉัน	Game của tôi	Játékaim

personalInfo.mergeAccount	Merge Long Tale Games account	Объединенный аккаунт Long Tale Games	Long Tale Games 계정 통합	合并Long Tale Games账户	合併Long Tale Games帳戶	Associer un compte Long Tale Games	Long Tale Games-Konto verknüpfen	Combinar cuenta de Long Tale Games	Combinar conta Long Tale Games	Unisci l'account Long Tale Games	Połącz konto Long Tale Games	Spojit účet Long Tale Games	Long Tale Games hesabını birleştir	Long Tale Gamesアカウントの統合	รวมบัญชี Long Tale Games	Hợp nhất tài khoản Long Tale Games	Long Tale Games-fiók egyesítése

subscription.expirationDate	Expiration date	Действует до	만료일	到期日期	截止日期	Date d'expiration	Ablaufdatum	Fecha de expiración	Data de validade	Data di scadenza	Data obowiązywania	Datum expirace	Bitiş tarihi	失効日	วันหมดอายุ	Ngày hết hạn	Lejárat ideje
subscription.canceled	Canceled	Подписка отменена	취소됨	已取消	已取消	Annulé	Abgebrochen	Cancelada	Cancelada	Cancellato	Anulowano	Zrušeno	İptal Edildi	キャンセル済み	ยกเลิกแล้ว	Đã hủy	Megszüntetve
subscription.unsubscribe	Unsubscribe	Отменить подписку	구독 해지	取消订阅	取消訂閱	Me désabonner	Abbestellen	Cancelar suscripción	Desinscrever-se	Cancella l'abbonamento	Anuluj subskrypcję	Zrušit předplatné	Abonelikten Çık	サブスクライブ解除	เลิกสมัครรับ	Hủy đăng ký	Előfizetés lemondása
subscription.confirmUnsubscribe.submit	Stop subscription	Отказаться от подписки	구독 중단	停止订阅	停止訂閱	Arrêter l'abonnement	Abonnement beenden	Detener suscripción	Interromper inscrição	Interrompi l'abbonamento	Zatrzymaj subskrypcję	Zastavit předplatné	Aboneliği durdur	サブスクリプション停止	หยุดการสมัครรับ	Dừng đăng ký	Előfizetés leállítása
subscription.confirmUnsubscribe.title	Are you sure?	Вы уверены?	정말 계속하시겠어요?	确定吗？	你確定嗎？	Confirmer ?	Bist du sicher?	¿Seguro?	Tem certeza?	Vuoi proseguire?	Na pewno?	Víš to jistě?	Emin misin?	よろしいですか？	แน่ใจหรือไม่?	Bạn có chắc không?	Biztos vagy benne?
subscription.currentSubscription	Current subscription	Текущие подписки	현재 구독	当前订阅	目前訂閱	Abonnement actuel	Aktuelles Abonnement	Suscripción actual	Inscrição atual	Abbonamento attuale	Bieżąca subskrypcja	Aktuální předplatné	Mevcut abonelik	現在のサブスクリプション	การสมัครรับปัจจุบัน	Gói đăng ký hiện tại	Jelenlegi előfizetés
subscription.subscriptionGift	Subscription gift	Подарок за подписку	구독 선물	订阅赠与	訂閱禮物	Abonnement-cadeau	Abo-Geschenk	Regalar suscripción	Inscrição de presente	Regalo per abbonamento	Subskrypcja w prezencie	Dárek k předplatnému	Abonelik hediyesi	サブスクリプションギフト	ของขวัญสมัครรับ	Quà tặng gói đăng ký	Előfizetési ajándék
subscription.friendEmail	Friend email	Почта друга	친구 이메일	朋友电子邮件	朋友電子郵件	E-mail du destinataire	E-Mail eines Freundes	Correo electrónico de tu amigo	E-mail de amigo	Email dell'amico	Adres e-mail znajomego	E-mail přítele	Arkadaş e-postası	フレンドのメールアドレス	อีเมลเพื่อน	Email bạn bè	Baráti e-mail

promocodes.title	Enter promocode	Ввести промокод	프로모션 코드 입력	输入优惠码	輸入優惠碼	Entrer le code promo	Aktionscode eingeben	Introducir código promocional	Inserir código promocional	Inserisci il codice promozionale	Wprowadź kod promocyjny	Zadej promo kód	Promosyon kodu gir	プロモコードの入力	ใส่โปรโมโค้ด	Nhập mã khuyến mãi	Promóciós kód beírása
promocodes.desc	Here you can activate a new promocode or view the history of previously activated promocodes on your account	Здесь вы можете активировать новый промокод или просмотреть историю предыдущих активаций с вашего аккаунта.	이곳에서는 새 프로모션 코드를 활성화하거나 자신의 계정에서 이전에 활성화한 프로모션 코드 기록을 열람할 수 있습니다.	你可以在此处激活新的优惠码或查看账户中以前激活的优惠码记录	你可以在此啟用新的優惠碼，或查看你帳戶中已啟用優惠碼的歷史記錄	Ici, vous pouvez activer un nouveau code promo ou consulter l'historique des codes activés sur votre compte	Hier kannst du einen neuen Aktonscode aktivieren oder den Verlauf zuvor aktivierter Aktionscodes in deinem Konto einsehen	Aquí puedes activar un código promocional nuevo o ver el historial de los códigos promocionales activados anteriormente en tu cuenta.	Aqui você pode ativar um novo código promocional ou visualizar o histórico de códigos promocionais ativados anteriormente na sua conta	Qui puoi attivare un nuovo codice promozionale o visualizzare la cronologia dei codici promozionali precedentemente attivati sul tuo account	W tym miejscu możesz aktywować nowy kod promocyjny lub zobaczyć historię wcześniej aktywowanych kodów promocyjnych na swoim koncie	Zde můžeš aktivovat nový promo kód, nebo se podívat na historii dříve aktivovaných promo kódů na svém účtu	Burada yeni bir promosyon kodunu etkinleştirebilir veya hesabında daha önce etkinleştirilen promosyon kodlarının geçmişini görüntüleyebilirsin.	ここでは新たなプロモコードを有効化したり、これまでにアカウントで有効化したプロモコードの履歴を閲覧できます	ตรงนี้คุณสามารถเปิดใช้งานโปรโมโค้ดใหม่หรือดูประวัติการใช้โปรโมโค้ดที่ผ่านมาของบัญชีคุณได้	Tại đây, bạn có thể kích hoạt mã khuyến mãi mới hoặc xem lịch sử mã khuyến mãi mà tài khoản của bạn đã kích hoạt trước đó	Itt aktiválhatsz új promóciós kódot, vagy megtekintheted a korábban a fiókodon aktivált promóciós kódokat
promocodes.activate	Activate	Активировать	활성화	激活	啟用	Activer	Aktivieren	Activar	Ativar	Attiva	Aktywuj	Aktivovat	Etkinleştir	有効化	เปิดใช้งาน	Kích hoạt	Aktiválás
promocodes.inProcess	In process	В процессе	처리 중	进行中	處理中	En cours	In Bearbeitung	En curso	Em andamento	In corso	W toku	Zpracovává se	İşleniyor	処理中	ดำเนินการอยู่	Đang kích hoạt	Folyamatban
promocodes.received	Received	Получен	수령함	已收到	已收到	Reçus	Erhalten	Recibido	Recebido	Ricevuto	Otrzymano	Přijato	Alındı	受け取り済み	ได้รับแล้ว	Đã nhận	Megkaptad
promocodes.activated	Activated	Активирован	활성화함	已激活	已啟用	Activés	Aktiviert	Activado	Ativado	Attivato	Aktywowano	Aktivováno	Etkinleştirildi	有効化済み	เปิดใช้งานแล้ว	Đã kích hoạt	Aktiválva
promocodes.messages.invalid	Invalid promocode. Please, try again later or contact support	Неверный промокод. Повторите попытку позже или свяжитесь с техподдержкой	유효하지 않은 프로모션 코드입니다. 나중에 다시 시도하거나 지원팀에 문의하세요.	无效优惠码。请稍后再试或联系支持人员	優惠碼無效。請稍後再試或聯繫客服	Code promo non valide. Réessayez plus tard ou contactez l'assistance	Ungültiger Aktionscode. Bitte versuche es später erneut oder wende dich an den Support	Código promocional inválido. Inténtalo de nuevo o ponte en contacto con el equipo de asistencia.	Código promocional inválido. Tente de novo mais tarde ou contate o suporte.	Codice promozionale non valido. Riprova più tardi o contatta l'assistenza	Nieprawidłowy kod promocyjny. Spróbuj ponownie później lub skontaktuj się z pomocą techniczną	Neplatný promo kód. Zkus to později znovu, nebo kontaktuj podporu	Geçersiz promosyon kodu. Lütfen daha sonra tekrar dene veya destekle iletişime geç	プロモコードが無効です。後ほどふたたびお試しいただくか、サポートにご連絡ください	โปรโมโค้ดไม่ถูกต้อง กรุณาลองอีกครั้งในภายหลัง หรือติดต่อฝ่ายสนับสนุน	Mã khuyến mãi không hợp lệ. Vui lòng thử lại sau hoặc liên hệ với bộ phận hỗ trợ	Érvénytelen promóciós kód. Kérjük, próbáld újra, vagy vedd fel a kapcsolatot ügyfélszolgálatunkkal!
promocodes.messages.limited	You have already used this promocode	Вы уже воспользовались этим промокодом	이미 사용한 프로모션 코드입니다	已使用过此优惠码	你已經使用過此優惠碼	Vous avez déjà utilisé ce code promo.	Du hast diesen Aktionscode bereits verwendet	Ya has usado este código promocional	Você já usou este código promocional	Hai già utilizzato questo codice promozionale	Ten kod promocyjny został już wykorzystany	Tento promo kód už máš využitý	Bu promosyon kodunu daha önce kullandın	このプロモコードは使用済みです	คุณใช้โปรโมโค้ดนี้ไปแล้ว	Bạn đã sử dụng mã khuyến mãi này rồi	Már felhasználtad ezt a promóciós kódot
promocodes.messages.alreadyUsed	This promocode has already been used	Этот промокод уже был использован	이 프로모션 코드는 이미 사용되었습니다	此优惠码已被使用	這個優惠碼已經被使用過了	Ce code promo a déjà été utilisé.	Dieser Aktionscode wurde bereits verwendet	Este código promocional ya se ha usado	Este código promocional já foi usado	Questo codice promozionale è già stato utilizzato	Ten kod promocyjny został już wykorzystany	Tento promo kód již byl využit	Bu promosyon kodu daha önce kullanılmış	このプロモコードはすでに使用しています	โปรโมโค้ดนี้ถูกใช้ไปแล้ว	Mã khuyến mãi này đã được sử dụng rồi	Ezt a promóciós kódot már felhasználták
promocodes.messages.internalError	Something went wrong while applying this promocode. Please, try again later or contact support	При активации промокода что-то пошло не так. Повторите попытку позже или свяжитесь с техподдержкой	해당 프로모션 코드 적용 중 문제가 발생했습니다. 나중에 다시 시도하거나 지원팀에 문의하세요.	应用此优惠码时出现问题。请稍后再试或联系支持人员	在使用此優惠碼時出了問題。請稍後再試或聯繫客服	Une erreur s'est produite lors de l'application de ce code promo. Réessayez plus tard ou contactez l'assistance.	Beim Einlösen des Aktionscodes ist ein Fehler aufgetreten. Bitte versuche es später erneut oder wende dich an den Support	Algo ha salido mal mientras activabas este código promocional. Inténtalo de nuevo o ponte en contacto con el equipo de asistencia.	Ocorreu um erro durante a aplicação deste código promocional. Tente de novo mais tarde ou contate o suporte.	Qualcosa è andato storto durante l'applicazione di questo codice promozionale. Riprova più tardi o contatta l'assistenza	Coś poszło nie tak podczas stosowania tego kodu promocyjnego. Spróbuj ponownie później lub skontaktuj się z pomocą techniczną	Při aplikaci promo kódu se něco pokazilo. Zkus to později znovu, nebo se obrať na podporu	Bu promosyon kodunu uygularken bir sorun oluştu. Lütfen daha sonra tekrar dene veya destekle iletişime geç	このプロモコードの適用中に問題が発生しました。後ほどふたたびお試しいただくか、サポートにご連絡ください	มีบางอย่างผิดพลาดขณะใช้โปรโมโค้ด กรุณาลองอีกครั้งในภายหลัง หรือติดต่อฝ่ายสนับสนุน	Đã xảy ra lỗi trong khi áp dụng mã khuyến mãi này. Vui lòng thử lại sau hoặc liên hệ với bộ phận hỗ trợ	Valami félresikerült a promóciós kód felhasználásakor. Kérjük, próbáld újra, vagy vedd fel a kapcsolatot ügyfélszolgálatunkkal!
promocodes.messages.alreadyHaveTrial	You can only activate the trial period once	Активировать пробный период можно только 1 раз	체험 기간은 한 번만 활성화할 수 있습니다	只能激活一次试用期	你只能啟用一次試玩期	Vous ne pouvez activer la période d'essai qu'une seule fois	Du kannst den Testzeitraum nur einmal aktivieren	Solo puedes activar el período de prueba una vez.	Só é possível ativar o período de avaliação uma vez	Puoi attivare il periodo di prova una sola volta	Okres próbny można aktywować tylko raz	Zkušební dobu můžeš aktivovat jen jednou	Deneme süresini yalnızca bir kez etkinleştirebilirsin	無料体験は一度のみご利用いただけます	คุณสามารถเปิดใช้งานช่วงทดลองใช้ได้ครั้งเดียวเท่านั้น	Bạn chỉ có thể kích hoạt thời hạn chơi thử một lần	A próbaidőszakot csak egyszer aktiválhatod
promocodes.messages.applied	Promocode successfully applied	Промокод успешно применён	프로모션 코드 적용 완료	已成功应用优惠码	優惠碼已成功使用	Code promo appliqué	Aktionscode erfolgreich verwendet	Código promocional activado con éxito	Código promocional aplicado com sucesso	Codice promozionale applicato con successo	Pomyślnie zastosowano kod promocyjny	Promo kód byl úspěšně použit	Promosyon kodu başarıyla uygulandı	プロモコードの適用が完了しました	ใช้โปรโมโค้ดสำเร็จแล้ว	Đã áp dụng mã khuyến mãi thành công	Sikeresen beváltottad a promóciós kódot

platforms.pc	PC	PC	PC	PC	PC	PC	PC	PC	PC	PC	PC	PC	PC	PC	PC	Máy tính	PC
platforms.xbox	XBOX	XBOX	XBOX	XBOX	XBOX	XBOX	XBOX	XBOX	XBOX	XBOX	XBOX	XBOX	XBOX	XBOX	XBOX	XBOX	XBOX
platforms.ps4	PS4	PS4	PS4	PS4	PS4	PS4	PS4	PS4	PS4	PS4	PS4	PS4	PS4	PS4	PS4	PS4	PS4
platforms.ps5	PS5	PS5	PS5	PS5	PS5	PS5	PS5	PS5	PS5	PS5	PS5	PS5	PS5	PS5	PS5	PS5	PS5
platforms.android	Android	Android	Android	Android	Android	Android	Android	Android	Android	Android	Android	Android	Android	Android	Android	Android	Android
platforms.ios	iOS	iOS	iOS	iOS	iOS	iOS	iOS	iOS	iOS	iOS	iOS	iOS	iOS	iOS	iOS	iOS	iOS
platforms.windows	Windows	Windows	Windows	Windows	Windows	Windows	Windows	Windows	Windows	Windows	Windows	Windows	Windows	Windows	Windows	Windows	Windows
platforms.linux	Linux	Linux	Linux	Linux	Linux	Linux	Linux	Linux	Linux	Linux	Linux	Linux	Linux	Linux	Linux	Linux	Linux

genres.indie	Indie	Инди	인디	独立	獨立遊戲	Indé	Indie	Indie	Indie	Indipendente	Niezależne	Indie	Bağımsız	インディー	อินดี้	Indie	Indie
genres.action	Action	Экшен	액션	动作	動作遊戲	Action	Aktion	Acción	Ação	Azione	Akcja	Akční	Aksiyon	アクション	แอ็กชัน	Hành động	Akció
genres.rpg	RPG	РПГ	RPG	角色扮演游戏	角色扮演遊戲	RPG	Rollenspiel	RPG	RPG	GDR	RPG	RPG	RPG	RPG	RPG	RPG	Szerepjáték
genres.simulation	Simulation	Симуляторы	시뮬레이션	模拟	模擬遊戲	Simulation	Simulation	Simulación	Simulação	Simulazione	Symulacja	Simulace	Simülasyon	シミュレーション	จำลองสถานการณ์	Mô phỏng	Szimuláció
genres.action-adventure	Action-adventure	Приключенческий боевик	액션 어드벤처	动作冒险	動作冒險遊戲	Action-aventure	Aktion-Abenteuer	Acción y aventura	Ação-aventura	Azione-avventura	Akcja i przygoda	Akční adventura	Aksiyon Macera	アクションアドベンチャー	แอ็กชัน-ผจญภัย	Hành động phiêu lưu	Akció-kaland
